Id,body,Score
65142244,"<p>Look in the console for errors (F12)</p>
<p>Also you are hammering the DOM</p>
<p>Try this instead</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;!doctype html&gt;
&lt;html&gt;

&lt;head&gt;
  &lt;title&gt;Load images&lt;/title&gt;
  &lt;script&gt;
    function myFunction(numImages) {
      const html = Array.from(Array(numImages).keys()).slice(1).map(key =&gt; {
        const id = String(key).padStart(2, '0');
        return `&lt;div class='col-sm-4 more crop col-xs-6 col-md-3 col-lg-3'&gt;
    &lt;a class=""thumbnail fancybox"" rel=""ligthbox"" href=""images/image${id}.jpg""&gt;
      &lt;img class=""img-responsive"" alt="""" src=""images/image${id}.jpg"" title=""Here would be image${id}"" /&gt;Here would be img ${id}
    &lt;/a&gt;
  &lt;/div&gt;`
      })
      document.querySelector('#images').innerHTML = html.join("""");
    }

    window.addEventListener(""load"", function() {
      myFunction(5); /* change to 50 when you are happy */
    });

  &lt;/script&gt;
&lt;/head&gt;

&lt;body&gt;
  &lt;div id=""images""&gt;&lt;/div&gt;
&lt;/body&gt;</code></pre>
</div>
</div>
</p>
",0
65124991,"<p>You have a typo, use <code>plotLines</code> instead of <code>plotlines</code>:</p>
<pre><code>  xAxis: {
    plotLines: [{
      ...
    }],
    ...
  }
</code></pre>
<hr />
<p><strong>Live demo:</strong> <a href=""https://jsfiddle.net/BlackLabel/p3u8ejtb/"" rel=""nofollow noreferrer"">https://jsfiddle.net/BlackLabel/p3u8ejtb/</a></p>
<p><strong>API Reference:</strong> <a href=""https://api.highcharts.com/highcharts/xAxis.plotLines"" rel=""nofollow noreferrer"">https://api.highcharts.com/highcharts/xAxis.plotLines</a></p>
",0
65114034,"<p>As @El_Vanja pointed out. It all depends on the rules of your form.</p>
<h3>Possible Solutions</h3>
<p>I do not think PHP can redirect without a back arrow.  However, you <em>might</em> be able to replace the contents of your page in PHP (not a PHP expert).</p>
<p>Since this question is marked with &quot;javascript&quot;
I do know that you can execute this:
<code>window.location.replace(url);</code>. <a href=""https://stackoverflow.com/questions/1045845/how-to-call-a-javascript-function-from-php"">This</a> might help if you want to execute javascript with php.</p>
<h3>Suggestions</h3>
<p>I think there are better solutions (after all, you just need to enter the URL again and you are back at the form).</p>
<p>If you are very adamant they do not revisit the page. You should save whether or not they completed the form in the database for their account.
If you do not have accounts you could also track IPs, but keep in mind, this can be spoofed (then again, users can always create multiple accounts).</p>
<p>If you don't want them to revisit the page but aren't <em>that</em> worried about how many times they take the test; you can create a cookie. Just check if the cookie is set and redirect accordingly.</p>
<p>I would write code here... but I do not know the exact details of what you want to achieve.</p>
<p>However, I hope I was able to point you in the right direction.</p>
",0
65162308,"<p>If you have the data from the API, then what you need to change is the presentational layer.</p>
<p>Here's a small snippet that works with a set of data (it's a fully JavaScript solution):</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>const fetchData = async() =&gt; {
  const response = await fetch('https://jsonplaceholder.typicode.com/todos')
  const json = await response.json()
  return json
}

const thead1 = document.querySelector('#table &gt; thead')
const tbody1 = document.querySelector('#table &gt; tbody')

const headerHtml = (items) =&gt; {
  let html = ''
  html += '&lt;tr&gt;&lt;th&gt;&lt;/th&gt;'
  Object.keys(items[0]).forEach(header =&gt; {
    html += `&lt;th&gt;${ header }&lt;/th&gt;`
  })
  html += '&lt;/tr&gt;'
  return html
}

const bodyHtml = (items) =&gt; {
  let html = ''
  items.forEach(item =&gt; {
    html += '&lt;tr&gt;'
    html += '&lt;td&gt;&lt;/td&gt;'
    for (let key in item) {
      html += `&lt;td&gt;${ item[key] }&lt;/td&gt;`
    }
    html += '&lt;/tr&gt;'
  })
  return html

}

(async function() {
  // get data from the API
  const response = await fetchData()

  // transform data for our requirements
  let transformed = response.reduce((a, c) =&gt; {
    if (typeof a[c.userId] === ""undefined"") a[c.userId] = 0
    a[c.userId] += 1
    return a
  }, {})

  let data = Object.entries(transformed).map(([id, val]) =&gt; ({
    id,
    val
  }))

  thead1.innerHTML = headerHtml(data)
  tbody1.innerHTML = bodyHtml(data)

  // create chart:
  Highcharts.chart('container', {
    data: {
      table: 'table'
    },
    chart: {
      type: 'column'
    },
    title: {
      text: 'Data extracted from a HTML table in the page'
    },
    yAxis: {
      allowDecimals: false,
      title: {
        text: 'Units'
      }
    },
    tooltip: {
      formatter: function() {
        return `
          &lt;b&gt;${ this.series.name }&lt;/b&gt;
        `
      }
    }
  });

})();</code></pre>
<pre class=""snippet-code-css lang-css prettyprint-override""><code>#table {
  border-collapse: collapse;
  border: 1px solid #cacaca;
  width: 200px;
}

#table tr,
#table th,
#table td {
  border: 1px solid #6f6f6f;
}

#table th {
  background: #cacaca;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;script src=""https://code.jquery.com/jquery-3.4.1.min.js""&gt;&lt;/script&gt;
&lt;script src=""https://code.highcharts.com/highcharts.js""&gt;&lt;/script&gt;
&lt;script src=""https://code.highcharts.com/modules/data.js""&gt;&lt;/script&gt;
&lt;script src=""https://code.highcharts.com/modules/exporting.js""&gt;&lt;/script&gt;

&lt;script src=""https://code.highcharts.com/modules/export-data.js""&gt;&lt;/script&gt;
&lt;table id=""table""&gt;
  &lt;thead&gt;
  &lt;/thead&gt;
  &lt;tbody&gt;
  &lt;/tbody&gt;
&lt;/table&gt;
&lt;hr /&gt;
&lt;div id=""container""&gt;&lt;/div&gt;</code></pre>
</div>
</div>
</p>
",0
65126826,"<p>This component is not compatible with vue 3 although its name indicates that is compatible which is something that confused you, they say :</p>
<blockquote>
<p>... We have decided to maintain as a new project. We name it vue-tables-3 because there will also be the version for Vue.js 3 when it is ready.</p>
</blockquote>
<p>but the last publish is more than one year.</p>
<p>But you could use <a href=""https://github.com/matfish2/vue-tables-2"" rel=""nofollow noreferrer"">vue-tables-2</a> which is compatible with vue 3</p>
",0
65084387,"<p>On the first table I added &quot;EventListener&quot;. When you click on a number field, the function is called function <code>getNumbers()</code> which adds the number to the other table. So that one digit cannot be added more than once. When you click on a field with a number, &quot;EventListener&quot; is automatically removed. The function <code>getNumbers()</code> loop the fields in the second table and fills in the next blank field.</p>
<p><em>I have marked the new things in your code with a comments <code>// NEW CODE LINE</code></em></p>
<p><strong>Example:</strong></p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;!DOCTYPE html&gt;
&lt;html&gt;
&lt;head&gt;
    &lt;script&gt;
        var timerid;
        var secs = 30;
        var randomNumber;
        var mclics = 0;
        var mcorrect = 0;



        function begin() {
            randomNumber = Math.round(Math.random() * 9);

            var atable = document.getElementById(""atable"");
            for (i = 0; i &lt; atable.rows.length; i++) {
                for (j = 0; j &lt; atable.rows[i].cells.length; j++) {
                    var a = Math.ceil(Math.random() * 100);
                    atable.rows[i].cells[j].innerHTML = a;

                    // NEW CODE LINE
                    atable.rows[i].cells[j].addEventListener(""click"", function () {
                        getNumbers(this.innerText);
                        this.removeEventListener(""click"", arguments.callee);
                    });
                    // END NEW CODE LINE
                }
            }

        }

        function check(trgt) {
            if (trgt.tagName == ""TD"") {
                mclics++
                trgt.onclick = false;                 //for not happen again click//
                if ((trgt.innerHTML % randomNumber) == 0) {
                    mcorrect++                          //right clicks
                    trgt.style.backgroundColor = ""green"";
                }
                else {
                    trgt.style.backgroundColor = ""red"";
                }
            }

        }

        // NEW CODE LINE
        function getNumbers(x) {
            var target = document.getElementById('second').getElementsByTagName('td');
            for (var i = 0; i &lt; target.length; i++) {
                if (target[i].innerText.length === 0) {
                    target[i].innerText = x;
                    break;
                }
            }
        }
        // END NEW CODE LINE

    &lt;/script&gt;
&lt;/head&gt;

&lt;body&gt;
    &lt;input type=""button"" value=""Start"" onclick=""begin()"" style=""width: 30%""&gt;&lt;br&gt;
    &lt;p id=""anumber""&gt;&lt;/p&gt;
    &lt;table id=""atable"" border=""1"" onclick=""check(event.target)""&gt;
        &lt;tr&gt;
            &lt;td style=""width: 292px; height: 39px;""&gt; &lt;/td&gt;
            &lt;td style=""width: 332px; height: 39px;""&gt;&lt;/td&gt;
            &lt;td style=""width: 260px; height: 39px;""&gt;

        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 292px; height: 46px;""&gt;&lt;/td&gt;
            &lt;td style=""width: 332px; height: 46px;""&gt;&lt;/td&gt;
            &lt;td style=""width: 260px; height: 46px;""&gt;
        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 292px; height: 172px;""&gt;&lt;/td&gt;
            &lt;td style=""width: 332px; height: 172px;""&gt;&lt;/td&gt;
            &lt;td style=""width: 260px; height: 172px;""&gt;
        &lt;/tr&gt;

    &lt;/table&gt;

    &lt;p&gt;Remaining time: &lt;/p&gt;
    &lt;p id=""atimer""&gt;&lt;/p&gt;

    &lt;table id=""second"" border=""1""&gt;
        &lt;tr&gt;
            &lt;td style=""width: 292px; height: 39px;""&gt; &lt;/td&gt;
        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 332px; height: 39px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;

        &lt;tr&gt;
            &lt;td style=""width: 292px; height: 46px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 332px; height: 46px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;

        &lt;tr&gt;
            &lt;td style=""width: 332px; height: 39px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 332px; height: 39px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 332px; height: 39px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 332px; height: 39px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 332px; height: 39px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;

    &lt;/table&gt;
&lt;/body&gt;
&lt;/html&gt;</code></pre>
</div>
</div>
</p>
<hr />
<p><strong>Version 2:</strong></p>
<p>Does not start before pressing the &quot;Start&quot; button. Cleans the contents of both tables when the &quot;Start&quot; button is pressed again.</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;!DOCTYPE html&gt;
&lt;html&gt;
&lt;head&gt;
    &lt;script&gt;
        var timerid;
        var secs = 30;
        var randomNumber;
        // var mclics = 0;
        var mcorrect = 0;

        function begin() {

            // NEW CODE LINE
            mcorrect = 0;

            var tableA = document.getElementById('atable').getElementsByTagName('td');
            for (var i = 0; i &lt; tableA.length; i++) {
                tableA[i].style.backgroundColor = '';
                tableA[i].removeEventListener(""click"", getClick);
            }

            var tableB = document.getElementById('second').getElementsByTagName('td');
            for (var i = 0; i &lt; tableB.length; i++) {
                tableB[i].innerText = '';
            }
            // END NEW CODE LINE

            randomNumber = Math.round(Math.random() * 9);

            var atable = document.getElementById(""atable"");
            for (i = 0; i &lt; atable.rows.length; i++) {
                for (j = 0; j &lt; atable.rows[i].cells.length; j++) {
                    var a = Math.ceil(Math.random() * 100);
                    atable.rows[i].cells[j].innerHTML = a;

                    // NEW CODE LINE
                    atable.rows[i].cells[j].addEventListener(""click"", getClick);
                    // END NEW CODE LINE
                }
            }

        }

        // function check(trgt) {
        //     if (trgt.tagName == ""TD"") {
        //         mclics++
        //         trgt.onclick = false;                 //for not happen again click//
        //         if ((trgt.innerHTML % randomNumber) == 0) {
        //             mcorrect++                          //right clicks
        //             trgt.style.backgroundColor = ""green"";
        //         }
        //         else {
        //             trgt.style.backgroundColor = ""red"";
        //         }
        //     }
        // }

        // NEW CODE LINE
        function getClick() {
            getNumbers(this.innerText, this);
            this.removeEventListener(""click"", getClick);
        }

        function getNumbers(x, y) {

            if ((y.innerHTML % randomNumber) == 0) {
                mcorrect++                          //right clicks
                y.style.backgroundColor = ""green"";
            }
            else {
                y.style.backgroundColor = ""red"";
            }

            var target = document.getElementById('second').getElementsByTagName('td');
            for (var i = 0; i &lt; target.length; i++) {
                if (target[i].innerText.length === 0) {
                    target[i].innerText = x;
                    break;
                }
            }
        }
        // END NEW CODE LINE

    &lt;/script&gt;
&lt;/head&gt;

&lt;body&gt;
    &lt;input type=""button"" value=""Start"" onclick=""begin()"" style=""width: 30%""&gt;
    &lt;br&gt;

    &lt;p id=""anumber""&gt;&lt;/p&gt;
    &lt;table id=""atable"" border=""1""&gt;
        &lt;tr&gt;
            &lt;td style=""width: 292px; height: 39px;""&gt; &lt;/td&gt;
            &lt;td style=""width: 332px; height: 39px;""&gt;&lt;/td&gt;
            &lt;td style=""width: 260px; height: 39px;""&gt;

        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 292px; height: 46px;""&gt;&lt;/td&gt;
            &lt;td style=""width: 332px; height: 46px;""&gt;&lt;/td&gt;
            &lt;td style=""width: 260px; height: 46px;""&gt;
        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 292px; height: 172px;""&gt;&lt;/td&gt;
            &lt;td style=""width: 332px; height: 172px;""&gt;&lt;/td&gt;
            &lt;td style=""width: 260px; height: 172px;""&gt;
        &lt;/tr&gt;

    &lt;/table&gt;

    &lt;p&gt;Remaining time: &lt;/p&gt;
    &lt;p id=""atimer""&gt;&lt;/p&gt;

    &lt;table id=""second"" border=""1""&gt;
        &lt;tr&gt;
            &lt;td style=""width: 292px; height: 39px;""&gt; &lt;/td&gt;
        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 332px; height: 39px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;

        &lt;tr&gt;
            &lt;td style=""width: 292px; height: 46px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 332px; height: 46px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;

        &lt;tr&gt;
            &lt;td style=""width: 332px; height: 39px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 332px; height: 39px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 332px; height: 39px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 332px; height: 39px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;
        &lt;tr&gt;
            &lt;td style=""width: 332px; height: 39px;""&gt;&lt;/td&gt;
        &lt;/tr&gt;

    &lt;/table&gt;
&lt;/body&gt;
&lt;/html&gt;</code></pre>
</div>
</div>
</p>
",0
65085039,"<p>I'll extrapolate on a solution by going through the requirements you elaborated step by step.</p>
<blockquote>
<p>User can login</p>
</blockquote>
<p>This will require some system for authorization. You could perhaps use another Mongo table dedicated to this sort of thing - at the minimum it should link some authorization token to a user id.</p>
<pre class=""lang-js prettyprint-override""><code>const AuthSchema = {
  user_id: ObjectID,
  auth_token: string,
}
</code></pre>
<p>The way you get this auth token is through various means - really depends on how you auth your users, e.g. phone auth or username/password. All that's a bit beyond the scope of this answer.</p>
<blockquote>
<p>Article &quot;like&quot; will go up by 1 every time unique user likes it (no duplicate). Somebody who already liked the &quot; article&quot; can &quot;unlike&quot; it or &quot;user&quot; will see they already liked the &quot;article&quot;</p>
</blockquote>
<p>A Redis <strong>Set</strong> would model this quite well. Every time a user likes an article, add their user_id into a Redis Set for that article. The key for such set could look like this:</p>
<pre><code>article:${article_id}:likes
</code></pre>
<p>Get the number of people who liked the article by taking the size of its set (full of unique user_ids). Whenever someone unlikes an article, remove their user_id from the set.</p>
<p>Further reading:</p>
<ul>
<li><a href=""https://redis.io/topics/data-types"" rel=""nofollow noreferrer"">Redis Sets and other Redis datatypes</a></li>
<li><a href=""https://redis.io/commands/sadd"" rel=""nofollow noreferrer"">Redis sadd command</a>.</li>
</ul>
",0
65117150,"<p>The value of the property <code>system:time_start</code> must be a <em>number</em> (even though it would make sense for it to be a Date, the system design didn't end up that way). You must change calls like</p>
<pre><code>.set('system:time_start', ee.Date.fromYMD(y, m, 1))
</code></pre>
<p>to</p>
<pre><code>.set('system:time_start', ee.Date.fromYMD(y, m, 1).millis())
</code></pre>
<p>While looking, I see other possible problems here:</p>
<pre><code>    return monthly.set('year', y).set('system:time_start', ee.Date.fromYMD(y, 1, 1))
      .set('month', y).set('system:time_start', ee.Date.fromYMD(y, m, 1));
</code></pre>
<p>This is setting the <code>month</code> property value to the <code>y</code> variable (not <code>m</code>), and it's setting <code>system:time_start</code> twice (so only the second value will be used). Probably this is not what you meant. I have not looked at what you're intending to do with the collection, so you'll have to figure that part out yourself.</p>
",0
65133270,"<p>If you don't want to import image in your component then you can display image in the following way</p>
<pre><code>var imageName = require('./images/img-9.jpg')
&lt;img src={imageName} /&gt;
</code></pre>
<p>Here, require used for static &quot;imports&quot;, so you need to change your imports.</p>
<p>But you can also do this in the following way</p>
<pre><code>import imageName from './images/img-9.jpg';
&lt;img src={imageName} /&gt;
</code></pre>
<p>This is another approach to do this</p>
",0
65103187,"<p>The first problem is caused by the fact that you would have three buttons that each have an id of <code>abc</code> when doing the <code>document.getElementById(e.target.id)</code> it will <strong>always</strong> return the first it found. This issue could be resolved by passing an id in as a property so that each of your toggles has an unique id.</p>
<p>The other problem is that Svelte will remove all style declaration that are <em>not explicitely used</em> in your markup, the <code>active</code> class is nowhere used in your markup so it will be removed.</p>
<p>When using Svelte it is generally not a good idea to manipulate your DOM directly like this and instead rely on that state of your component and Svelte's internal logic to manage this for you.</p>
<p>This means that in your script you will have a variable that tracks the state of your components:</p>
<pre class=""lang-html prettyprint-override""><code>&lt;script&gt;
  export let toggled = false
&lt;/script&gt; 
</code></pre>
<p>And you use this state to conditionally add the class to the element</p>
<pre class=""lang-html prettyprint-override""><code>&lt;div class:active={toggled}&gt;&lt;/div&gt;
</code></pre>
<p>You could go a step further and use the shorthand for the conditional class which requires the variable and the class to be same name: <code>&lt;div class:toggled&gt;&lt;/div&gt;</code></p>
<p>This gives us a full component of</p>
<pre class=""lang-html prettyprint-override""><code>&lt;style&gt;
  .butt {
    background:blue;
  }
  .butt.toggled {
    background:lightblue;
  }
&lt;/style&gt;

&lt;script&gt;
  export let toggled = false

  function toggle() {
    toggled = !toggled
  }
&lt;/script&gt;

&lt;div
  on:click={toggle}
  class=&quot;butt&quot;
  class:toggled
&gt;sample button&lt;/div&gt;
</code></pre>
",0
